hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
资料,資料,zī liào,zi1 liao4,5,1130,n,material; resources; data; information; profile (Internet),,份/个
资源,資源,zī yuán,zi1 yuan2,5,2319,n,natural resource (such as water or minerals); resource (such as manpower or tourism),,
紫,紫,zǐ,zi3,5,6061,a,purple; violet,,
字幕,字幕,zì mù,zi4 mu4,5,11551,n,caption; subtitle,,
自从,自從,zì cóng,zi4 cong2,5,2256,p,since (a time); ever since,,
自动,自動,zì dòng,zi4 dong4,5,2365,d/b,automatic; voluntarily,,
自豪,自豪,zì háo,zi4 hao2,5,4682,a/an,proud (of one's achievements etc),,
自觉,自覺,zì jué,zi4 jue2,5,7977,a/ad/v/an,conscious; aware; on one's own initiative; conscientious,,
自私,自私,zì sī,zi4 si1,5,5778,a/an,selfish; selfishness,,
自信,自信,zì xìn,zi4 xin4,5,2610,v/an/a/vn,to have confidence in oneself; self-confidence,,
自由,自由,zì yóu,zi4 you2,5,1067,a/an/ad,freedom; liberty; free; unrestricted,,种
自愿,自願,zì yuàn,zi4 yuan4,5,4902,v/vn,voluntary,,
宗教,宗教,zōng jiào,zong1 jiao4,5,3459,n,religion,,
综合,綜合,zōng hé,zong1 he2,5,4226,vn/v/a,comprehensive; composite; synthesized; mixed; to sum up; to integrate; to synthesize,,
总裁,總裁,zǒng cái,zong3 cai2,5,4197,n,chairman; director-general (of a company etc),,
总共,總共,zǒng gòng,zong3 gong4,5,6369,d,altogether; in sum; in all; in total,,
总理,總理,zǒng lǐ,zong3 li3,5,5561,n,premier; prime minister,,个/位/名
总算,總算,zǒng suàn,zong3 suan4,5,4933,d/v,at long last; finally; on the whole,,
总统,總統,zǒng tǒng,zong3 tong3,5,988,n,president (of a country),,个/位/名/届
总之,總之,zǒng zhī,zong3 zhi1,5,3282,c,in a word; in short; in brief,,
阻止,阻止,zǔ zhǐ,zu3 zhi3,5,2318,v/vn,to prevent; to block,,
组合,組合,zǔ hé,zu3 he2,5,2208,v/n/vn,to assemble; to combine; to compose; combination; association; set; compilation; (math.) combinatorial,,
祖国,祖國,zǔ guó,zu3 guo2,5,4334,n,motherland,,
祖先,祖先,zǔ xiān,zu3 xian1,5,10617,n,ancestors; forebears; (biology) ancestral species; ancient species from which present-day species evolved,,
最初,最初,zuì chū,zui4 chu1,5,4118,b/d,first; primary; initial; original; at first; initially; originally,,
罪犯,罪犯,zuì fàn,zui4 fan4,5,5901,n,criminal,,
醉,醉,zuì,zui4,5,2402,v/vn,intoxicated,,
尊敬,尊敬,zūn jìng,zun1 jing4,5,4630,v/vn,to respect; to revere; to esteem; honorable; distinguished (used on formal occasions before a term of address),,
遵守,遵守,zūn shǒu,zun1 shou3,5,3894,v,to comply with; to abide by; to respect (an agreement),,
作品,作品,zuò pǐn,zuo4 pin3,5,1381,n,work (of art); opus,,部/篇
作为,作為,zuò wéi,zuo4 wei2,5,405,p/v,one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be,,
作文,作文,zuò wén,zuo4 wen2,5,10798,n,to write an essay; composition (student essay),,篇
呵,呵,hē,he1,6,5230,y/e/v,expel breath; my goodness,,
哎哟,哎喲,āi yō,ai1 yo1,6,7054,e,hey; ow; ouch; interjection of pain or surprise,,
挨,挨,ái,ai2,6,5720,v,to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle,,
