hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
植物,植物,zhí wù,zhi2 wu4,4,3915,n,plant; vegetation,,种
只好,只好,zhǐ hǎo,zhi3 hao3,4,3132,d,to have no other option but to ...; to have to; to be forced to,,
只要,只要,zhǐ yào,zhi3 yao4,4,452,c,if only; so long as,,
指,指,zhǐ,zhi3,4,639,v/g,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end,,
至少,至少,zhì shǎo,zhi4 shao3,4,868,d,at least; (to say the) least,,
制造,製造,zhì zào,zhi4 zao4,4,1600,v/vn,to manufacture; to make,,
质量,質量,zhì liàng,zhi4 liang4,4,2805,n,quality; (physics) mass,,
中文,中文,Zhōng wén,Zhong1 wen2,4,6459,nz,Chinese language,,
重点,重點,zhòng diǎn,zhong4 dian3,4,1381,n/d,important point; main point; focus; key (project etc); to focus on; to put the emphasis on,,
重视,重視,zhòng shì,zhong4 shi4,4,3506,v/vn,to attach importance to sth; to value,,
重新,重新,chóng xīn,chong2 xin1,4,915,d,again; once more; re-,,
周围,周圍,zhōu wéi,zhou1 wei2,4,1649,f,environs; surroundings; periphery,,
猪,豬,zhū,zhu1,4,1583,n,hog; pig; swine,,口/头
逐渐,逐漸,zhú jiàn,zhu2 jian4,4,3347,d,gradually,,
主动,主動,zhǔ dòng,zhu3 dong4,4,2470,ad/a/an,to take the initiative; to do sth of one's own accord; spontaneous; active; opposite: passive 被动; drive (of gears and shafts etc),,
主意,主意,zhǔ yi,zhu3 yi5,4,3584,n,plan; idea; decision; Beijing pr. [zhú yi],,个
祝贺,祝賀,zhù hè,zhu4 he4,4,3501,v/vn,to congratulate; congratulations,,个
专门,專門,zhuān mén,zhuan1 men2,4,2288,d/b,specialist; specialized; customized,,
专业,專業,zhuān yè,zhuan1 ye4,4,1146,n,specialty; specialized field; main field of study (at university); major; professional,,门/个
赚,賺,zhuàn,zhuan4,4,2163,v,to earn; to make a profit,,
撞,撞,zhuàng,zhuang4,4,2075,v,to knock against; to bump into; to run into; to meet by accident,,
准确,準確,zhǔn què,zhun3 que4,4,2864,a/ad,accurate; exact; precise,,
准时,準時,zhǔn shí,zhun3 shi2,4,6248,ad/a/an,on time; punctual; on schedule,,
仔细,仔細,zǐ xì,zi3 xi4,4,2274,ad/a,careful; attentive; cautious; to be careful; to look out,,
自然,自然,zì rán,zi4 ran2,4,929,n/d/a,nature; natural; naturally,,
总结,總結,zǒng jié,zong3 jie2,4,4753,v/vn,to sum up; to conclude; summary; résumé,,个
租,租,zū,zu1,4,2332,v/g,to hire; to rent; to charter; to rent out; to lease out; rent; land tax,,
组成,組成,zǔ chéng,zu3 cheng2,4,2717,v/vn,to form; to make up; to constitute,,
组织,組織,zǔ zhī,zu3 zhi1,4,590,n/v,to organize; organization; (biology) tissue; (textiles) weave,,个
嘴,嘴,zuǐ,zui3,4,1059,n,mouth; beak; nozzle; spout (of teapot etc),,张/个
最好,最好,zuì hǎo,zui4 hao3,4,1704,d,best; (you) had better (do what we suggest),,
最后,最後,zuì hòu,zui4 hou4,4,261,f,final; last; finally; ultimate,,
尊重,尊重,zūn zhòng,zun1 zhong4,4,1926,v/vn,to esteem; to respect; to honor; to value; eminent; serious; proper,,
作者,作者,zuò zhě,zuo4 zhe3,4,2796,n,author; writer,,
座,座,zuò,zuo4,4,751,q/g,"seat; base; stand; (archaic) suffix used in a respectful form of address, e.g. 师座; classifier for buildings, mountains and similar immovable objects",,个
座位,座位,zuò wèi,zuo4 wei4,4,4477,n,seat,,个
做生意,做生意,zuò shēng yì,zuo4 sheng1 yi4,4,9762,,to do business,,
唉,唉,āi,ai1,5,2512,e,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",,
爱护,愛護,ài hù,ai4 hu4,5,10522,v/vn,to cherish; to treasure; to take care of; to love and protect,,
爱惜,愛惜,ài xī,ai4 xi1,5,20535,v,to cherish; to treasure; to use sparingly,,
爱心,愛心,ài xīn,ai4 xin1,5,5809,n,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)",,片
安慰,安慰,ān wèi,an1 wei4,5,3563,v/vn/an/a,to comfort; to console,,个
安装,安裝,ān zhuāng,an1 zhuang1,5,3653,v/vn,to install; to erect; to fix; to mount; installation,,
岸,岸,àn,an4,5,6867,n/g,bank; shore; beach; coast,,个
把握,把握,bǎ wò,ba3 wo4,5,3068,v/vn/n,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),,
摆,擺,bǎi,bai3,5,1854,v,to arrange; to exhibit; to move to and fro; a pendulum,,
班主任,班主任,bān zhǔ rèn,ban1 zhu3 ren4,5,15965,n,teacher in charge of a class,,
办理,辦理,bàn lǐ,ban4 li3,5,6575,v,to handle; to transact; to conduct,,
傍晚,傍晚,bàng wǎn,bang4 wan3,5,9979,t,in the evening; when night falls; towards evening; at night fall; at dusk,,
棒,棒,bàng,bang4,5,1228,a/g/q,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,,
包裹,包裹,bāo guǒ,bao1 guo3,5,5432,n/v,to wrap up; to bind up; bundle; parcel; package,,个
包含,包含,bāo hán,bao1 han2,5,5524,v,to contain; to embody; to include,,
包子,包子,bāo zi,bao1 zi5,5,16315,n,bao (steamed stuffed bun),,个
薄,薄,bó,bo2,5,4129,a,meager; slight; weak; ungenerous or unkind; frivolous; to despise; to belittle; to look down on; to approach or near,,
宝贝,寶貝,bǎo bèi,bao3 bei4,5,1003,n,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,,
宝贵,寶貴,bǎo guì,bao3 gui4,5,5572,a,valuable; precious; to value; to treasure; to set store by,,
保持,保持,bǎo chí,bao3 chi2,5,644,v/vn,to keep; to maintain; to hold; to preserve,,
保存,保存,bǎo cún,bao3 cun2,5,3916,v/vn,to conserve; to preserve; to keep; to save (a file etc) (computing),,
保留,保留,bǎo liú,bao3 liu2,5,2921,v/vn,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,,
保险,保險,bǎo xiǎn,bao3 xian3,5,1430,n/a/v,insurance; to insure; safe; secure; be sure; be bound to,,份
报告,報告,bào gào,bao4 gao4,5,681,n/v,to inform; to report; to make known; report; speech; talk; lecture,,篇/份/个/通
悲观,悲觀,bēi guān,bei1 guan1,5,10593,a/ad,pessimistic,,
背,背,bèi,bei4,5,1623,v/n,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing,,
背景,背景,bèi jǐng,bei4 jing3,5,2420,n,background; backdrop; context; (fig.) powerful backer,,种
被子,被子,bèi zi,bei4 zi5,5,8179,n,quilt,,床
本科,本科,běn kē,ben3 ke1,5,16998,n,undergraduate course; undergraduate (attributive),,
本领,本領,běn lǐng,ben3 ling3,5,10811,n,skill; ability; capability,,项/个
本质,本質,běn zhì,ben3 zhi4,5,5084,n,essence; nature; innate character; intrinsic quality,,
比例,比例,bǐ lì,bi3 li4,5,4723,n,proportion; scale,,
比如,比如,bǐ rú,bi3 ru2,5,1051,v,for example; for instance; such as,,
彼此,彼此,bǐ cǐ,bi3 ci3,5,2165,r,each other; one another,,
必然,必然,bì rán,bi4 ran2,5,5199,d/b/n,inevitable; certain; necessity,,
必需,必需,bì xū,bi4 xu1,5,7251,v/vn,to need; to require; essential; indispensable,,
必要,必要,bì yào,bi4 yao4,5,1191,a/an,necessary; essential; indispensable; required,,
毕竟,畢竟,bì jìng,bi4 jing4,5,2477,d,after all; all in all; when all is said and done; in the final analysis,,
避免,避免,bì miǎn,bi4 mian3,5,2140,v,to avert; to prevent; to avoid; to refrain from,,
编辑,編輯,biān jí,bian1 ji2,5,2447,n/v/vn,to edit; to compile; editor; compiler,,
鞭炮,鞭炮,biān pào,bian1 pao4,5,17033,n,firecrackers; string of small firecrackers,,枚
便,便,biàn,bian4,5,811,d/g,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就: then; in that case; even if; soon afterwards,,
辩论,辯論,biàn lùn,bian4 lun4,5,7547,vn/v,debate; argument; to argue over,,场/次
标点,標點,biāo diǎn,biao1 dian3,5,36947,n,punctuation; a punctuation mark; to punctuate,,个
标志,標誌,biāo zhì,biao1 zhi4,5,2653,n/v,sign; mark; symbol; logo; to symbolize; to indicate; to mark,,
表面,表面,biǎo miàn,biao3 mian4,5,2771,n,surface; face; outside; appearance,,
表明,表明,biǎo míng,biao3 ming2,5,1735,v,to make clear; to make known; to state clearly; to indicate; known,,
表情,表情,biǎo qíng,biao3 qing2,5,1882,n,(facial) expression; to express one's feelings,,
表现,表現,biǎo xiàn,biao3 xian4,5,452,v/vn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior,,
丙,丙,bǐng,bing3,5,9842,Mg,"third of the ten Heavenly Stems 干; third in order; letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; ancient Chinese compass point: 165°; propyl",,
病毒,病毒,bìng dú,bing4 du2,5,2227,n,virus,,
玻璃,玻璃,bō li,bo1 li5,5,2557,n,glass; (slang) male homosexual,,张/块
脖子,脖子,bó zi,bo2 zi5,5,3554,n,neck,,个
博物馆,博物館,bó wù guǎn,bo2 wu4 guan3,5,4179,n,museum,,
补充,補充,bǔ chōng,bu3 chong1,5,4107,v/vn,to replenish; to supplement; to complement; additional; supplementary,,个
不安,不安,bù ān,bu4 an1,5,4472,a/an,unpeaceful; unstable; uneasy; disturbed; restless; worried,,
不必,不必,bù bì,bu4 bi4,5,2029,d,need not; does not have to; not necessarily,,
不得了,不得了,bù dé liǎo,bu4 de2 liao3,5,8549,l,desperately serious; disastrous; extremely; exceedingly,,
不断,不斷,bù duàn,bu4 duan4,5,1245,d,unceasing; uninterrupted; continuous; constant,,
不好意思,不好意思,bù hǎo yì si,bu4 hao3 yi4 si5,5,2805,v/a,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),,
不见得,不見得,bù jiàn de,bu4 jian4 de5,5,17256,d,not necessarily; not likely,,
不免,不免,bù miǎn,bu4 mian3,5,24642,d,inevitably,,
不耐烦,不耐煩,bù nài fán,bu4 nai4 fan2,5,13336,a,impatient; to lose patience,,
不然,不然,bù rán,bu4 ran2,5,2285,c/v/a,not so; no; or else; otherwise; if not; How about ...?,,
不如,不如,bù rú,bu4 ru2,5,2684,v/c,not equal to; not as good as; inferior to; it would be better to,,
不要紧,不要緊,bù yào jǐn,bu4 yao4 jin3,5,10100,v,"unimportant; not serious; it doesn't matter; never mind; it looks all right, but",,
不足,不足,bù zú,bu4 zu2,5,2971,v/an/a,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,,
布,布,bù,bu4,5,1694,n/g/b/nr,cloth; to declare; to announce; to spread; to make known,,
步骤,步驟,bù zhòu,bu4 zhou4,5,7820,n,procedure; step,,
部门,部門,bù mén,bu4 men2,5,992,n,department; branch; section; division,,个
财产,財產,cái chǎn,cai2 chan3,5,2556,n,property; assets; estate,,笔
采访,採訪,cǎi fǎng,cai3 fang3,5,1893,v/vn,to interview; to gather news; to hunt for and collect; to cover,,
采取,採取,cǎi qǔ,cai3 qu3,5,1701,v,"to adopt or carry out (measures, policies, course of action); to take",,
彩虹,彩虹,cǎi hóng,cai3 hong2,5,7457,n,rainbow,,道
踩,踩,cǎi,cai3,5,3087,v,to step on; to tread; to stamp; to press a pedal; to pedal (a bike); (online) to downvote,,
参考,參考,cān kǎo,can1 kao3,5,5682,v/vn,consultation; reference; to consult; to refer,,
参与,參與,cān yù,can1 yu4,5,1027,v/vn,to participate (in sth),,
餐厅,餐廳,cān tīng,can1 ting1,5,3156,n,dining hall; dining room; restaurant,,间/家
残疾,殘疾,cán jí,can2 ji2,5,8861,n,disabled; handicapped; deformity on a person or animal,,
惭愧,慚愧,cán kuì,can2 kui4,5,11505,a/an,ashamed,,
操场,操場,cāo chǎng,cao1 chang3,5,11048,n,playground; sports field; drill ground,,个
操心,操心,cāo xīn,cao1 xin1,5,9620,v,to worry about,,
册,冊,cè,ce4,5,8165,q/g,book; booklet; classifier for books,,
厕所,廁所,cè suǒ,ce4 suo3,5,3393,n,toilet; lavatory,,间/处
测验,測驗,cè yàn,ce4 yan4,5,9742,vn/v,test; to test,,次/个
曾经,曾經,céng jīng,ceng2 jing1,5,723,d,once; already; former; previously; ever; (past tense marker used before verb or clause),,
叉子,叉子,chā zi,cha1 zi5,5,26304,n,fork,,把
插,插,chā,cha1,5,2875,v,to insert; stick in; pierce; to take part in; to interfere; to interpose,,
差别,差別,chā bié,cha1 bie2,5,5380,n,difference; distinction; disparity,,
拆,拆,chāi,chai1,5,3439,v,to tear open; to tear down; to tear apart; to open,,
产品,產品,chǎn pǐn,chan3 pin3,5,1421,n,goods; merchandise; product,,个
产生,產生,chǎn shēng,chan3 sheng1,5,1155,v/vn,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate,,
常识,常識,cháng shí,chang2 shi2,5,8740,n,common sense; general knowledge,,门
抄,抄,chāo,chao1,5,6726,v,to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms,,
朝,朝,cháo,chao2,5,1321,p/tg/b/v/q,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards,,
朝代,朝代,cháo dài,chao2 dai4,5,33998,n,dynasty; reign (of a king),,
吵架,吵架,chǎo jià,chao3 jia4,5,4413,v,to quarrel; to have a row; quarrel,,顿
炒,炒,chǎo,chao3,5,2197,v,to sauté; to stir-fry; to speculate; to hype; to fire (sb),,
车库,車庫,chē kù,che1 ku4,5,8202,n,garage,,
车厢,車廂,chē xiāng,che1 xiang1,5,7116,n,carriage,,节
彻底,徹底,chè dǐ,che4 di3,5,1659,ad/a,thorough; thoroughly; complete,,
沉默,沉默,chén mò,chen2 mo4,5,3369,an/a/v,taciturn; uncommunicative; silent,,
趁,趁,chèn,chen4,5,4043,p/v,to avail oneself of; to take advantage of,,
称呼,稱呼,chēng hu,cheng1 hu5,5,6082,v/n,to call; to address as; form of address; appellation,,
称赞,稱讚,chēng zàn,cheng1 zan4,5,8495,v/vn,to praise; to acclaim; to commend; to compliment,,
成分,成分,chéng fèn,cheng2 fen4,5,4143,n,composition; ingredient; element; component; one's social status,,个
成果,成果,chéng guǒ,cheng2 guo3,5,3448,n,result; achievement; gain; profit,,个
成就,成就,chéng jiù,cheng2 jiu4,5,3075,n/v,accomplishment; success; achievement; to achieve (a result); to create; to bring about,,个
成立,成立,chéng lì,cheng2 li4,5,2498,v/vn,to establish; to set up; to be tenable; to hold water,,
成语,成語,chéng yǔ,cheng2 yu3,5,24609,n,"Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage",,条/本/句
成长,成長,chéng zhǎng,cheng2 zhang3,5,2157,v/vn,to mature; to grow; growth,,
承担,承擔,chéng dān,cheng2 dan1,5,2363,v,to undertake; to assume (responsibility etc),,
承认,承認,chéng rèn,cheng2 ren4,5,1327,v/vn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",,
承受,承受,chéng shòu,cheng2 shou4,5,2759,v/vn,to bear; to support; to inherit,,
诚恳,誠懇,chéng kěn,cheng2 ken3,5,12015,a/ad/an,sincere; honest; cordial,,
乘,乘,chéng,cheng2,5,2982,v/p,to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (math.); Buddhist sect or creed,,
程度,程度,chéng dù,cheng2 du4,5,1455,n,degree; level; extent,,
程序,程序,chéng xù,cheng2 xu4,5,1747,n,procedures; sequence; order; computer program,,
吃亏,吃虧,chī kuī,chi1 kui1,5,14289,a/v,to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately,,
池子,池子,chí zi,chi2 zi5,5,23725,n,pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater),,
持续,持續,chí xù,chi2 xu4,5,1749,v/vn,to continue; to persist; to last; sustainable; preservation,,
尺子,尺子,chǐ zi,chi3 zi5,5,36385,n,ruler (measuring instrument),,把
翅膀,翅膀,chì bǎng,chi4 bang3,5,6681,n,wing,,个/对
充电器,充電器,chōng diàn qì,chong1 dian4 qi4,5,16655,n,battery charger,,
充分,充分,chōng fèn,chong1 fen4,5,2392,a/ad,ample; sufficient; adequate; full; fully; to the full,,
充满,充滿,chōng mǎn,chong1 man3,5,1405,v,full of; brimming with; very full; permeated,,
冲,沖,chōng,chong1,5,1312,v,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,,
宠物,寵物,chǒng wù,chong3 wu4,5,4648,n,house pet,,
抽屉,抽屜,chōu ti,chou1 ti5,5,9913,n,drawer,,
抽象,抽象,chōu xiàng,chou1 xiang4,5,12568,a/an,abstract; abstraction,,种
丑,丑,chǒu,chou3,5,3841,a/g,"clown; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox; ancient Chinese compass point: 30°",,
臭,臭,chòu,chou4,5,2909,a/g,stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition),,
出版,出版,chū bǎn,chu1 ban3,5,2994,v/vn,to publish,,
出口,出口,chū kǒu,chu1 kou3,5,1693,v/vn,an exit; to speak; to export; (of a ship) to leave port,,个
出色,出色,chū sè,chu1 se4,5,2028,a/ad,remarkable; outstanding,,
出席,出席,chū xí,chu1 xi2,5,2535,v,to attend; to participate; present,,
初级,初級,chū jí,chu1 ji2,5,10185,b,junior; primary,,
除,除,chú,chu2,5,2398,p/v,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,,
除非,除非,chú fēi,chu2 fei1,5,3271,c,"only if (..., or otherwise, ...); only when; only in the case that; unless",,
除夕,除夕,Chú xī,Chu2 xi1,5,13074,t,lunar New Year's Eve,,
处理,處理,chǔ lǐ,chu3 li3,5,525,v/vn,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices,,
传播,傳播,chuán bō,chuan2 bo1,5,3790,v/vn,to disseminate; to propagate; to spread,,
传递,傳遞,chuán dì,chuan2 di4,5,4948,v/vn,to transmit; to pass on to sb else; (math.) transitive,,
传染,傳染,chuán rǎn,chuan2 ran3,5,7193,v/vn,to infect; contagious,,
传说,傳說,chuán shuō,chuan2 shuo1,5,3138,n/v,legend; folk tale; to repeat from mouth to mouth; they say that...,,
传统,傳統,chuán tǒng,chuan2 tong3,5,1363,n/a,tradition; traditional; convention; conventional,,个
窗帘,窗簾,chuāng lián,chuang1 lian2,5,9289,n,window curtains,,
闯,闖,chuǎng,chuang3,5,4698,v,to rush; to charge; to dash; to break through; to temper oneself (through battling hardships),,
创造,創造,chuàng zào,chuang4 zao4,5,1476,v/vn,to create; to bring about; to produce; to set (a record),,
吹,吹,chuī,chui1,5,1880,v,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through,,
辞职,辭職,cí zhí,ci2 zhi2,5,3889,v/vn,to resign,,
磁带,磁帶,cí dài,ci2 dai4,5,13427,n,magnetic tape,,盘/盒
此外,此外,cǐ wài,ci3 wai4,5,3647,c,besides; in addition; moreover; furthermore,,
次要,次要,cì yào,ci4 yao4,5,16951,b,secondary,,
刺激,刺激,cì jī,ci4 ji1,5,1968,v/vn,to provoke; to irritate; to upset; to stimulate; to excite; irritant,,
匆忙,匆忙,cōng máng,cong1 mang2,5,10025,a/ad,hasty; hurried,,
从此,從此,cóng cǐ,cong2 ci3,5,3935,d,from now on; since then; henceforth,,
从而,從而,cóng ér,cong2 er2,5,4223,c,thus; thereby,,
从前,從前,cóng qián,cong2 qian2,5,5145,t,previously; formerly; once upon a time,,
从事,從事,cóng shì,cong2 shi4,5,3339,v,to go for; to engage in; to undertake; to deal with; to handle; to do,,
促进,促進,cù jìn,cu4 jin4,5,6415,v/vn,to promote (an idea or cause); to advance; boost,,
促使,促使,cù shǐ,cu4 shi3,5,7521,v,to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development),,
醋,醋,cù,cu4,5,8000,n,vinegar; jealousy (in love rivalry),,
催,催,cuī,cui1,5,4565,v,to urge; to press; to prompt; to rush sb; to hasten sth; to expedite,,
存,存,cún,cun2,5,2114,v,to exist; to deposit; to store; to keep; to survive,,
存在,存在,cún zài,cun2 zai4,5,621,v/vn,to exist; to be; existence,,
措施,措施,cuò shī,cuo4 shi1,5,2102,n,measure; step,,个
错误,錯誤,cuò wù,cuo4 wu4,5,1305,n/a,mistaken; false; wrong; error; mistake,,个
达到,達到,dá dào,da2 dao4,5,1234,v,to reach; to achieve; to attain,,
答应,答應,dā ying,da1 ying5,5,2130,v,to answer; to respond; to answer positively; to agree; to accept; to promise,,
打工,打工,dǎ gōng,da3 gong1,5,4894,v/vn,"to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation",,
打交道,打交道,dǎ jiāo dào,da3 jiao1 dao4,5,8359,v,to come into contact with; to have dealings,,
打喷嚏,打噴嚏,dǎ pēn tì,da3 pen1 ti4,5,19233,v,to sneeze,,
打听,打聽,dǎ ting,da3 ting5,5,7507,v,to ask about; to make some inquiries; to ask around,,
打招呼,打招呼,dǎ zhāo hu,da3 zhao1 hu5,5,7931,v/vn,to greet sb by word or action; to give prior notice,,
大方,大方,dà fang,da4 fang5,5,7757,a,generous; magnanimous; stylish; in good taste; easy-mannered; natural and relaxed,,
大象,大象,dà xiàng,da4 xiang4,5,8819,n,elephant,,只
大型,大型,dà xíng,da4 xing2,5,3051,b,large; large-scale,,
呆,呆,dāi,dai1,5,1485,v/a,foolish; stupid; expressionless; blank; to stay,,
待遇,待遇,dài yù,dai4 yu4,5,4791,n,treatment; pay; salary; status; rank,,
贷款,貸款,dài kuǎn,dai4 kuan3,5,2589,n/v/vn,a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank),,笔
单纯,單純,dān chún,dan1 chun2,5,4715,a/ad,simple; pure; unsophisticated; merely; purely,,
单调,單調,dān diào,dan1 diao4,5,12994,a/an,monotonous,,
单独,單獨,dān dú,dan1 du2,5,3019,d/b,alone; by oneself; on one's own,,
单位,單位,dān wèi,dan1 wei4,5,2350,n,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)",,个
单元,單元,dān yuán,dan1 yuan2,5,7926,n,unit (forming an entity); element; (in a residential building) entrance or staircase,,
担任,擔任,dān rèn,dan1 ren4,5,4026,v,to hold a governmental office or post; to assume office of; to take charge of; to serve as,,
耽误,耽誤,dān wu,dan1 wu5,5,7445,v,to delay; to hold up; to waste time; to interfere with,,
胆小鬼,膽小鬼,dǎn xiǎo guǐ,dan3 xiao3 gui3,5,22942,n,coward,,
淡,淡,dàn,dan4,5,4795,a/g,insipid; diluted; weak; mild; light in color; tasteless; indifferent; (variant of 氮) nitrogen,,
当代,當代,dāng dài,dang1 dai4,5,8383,t,the present age; the contemporary era,,
挡,擋,dǎng,dang3,5,3211,v/q,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission),,
导演,導演,dǎo yǎn,dao3 yan3,5,2109,,to direct; director (film etc),,
导致,導致,dǎo zhì,dao3 zhi4,5,1268,v,to lead to; to create; to cause; to bring about,,
岛,島,dǎo,dao3,5,1816,n,island,,个/座
到达,到達,dào dá,dao4 da2,5,2131,v,to reach; to arrive,,
倒,倒,dǎo,dao3,5,780,v/d,to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit,,
倒霉,倒霉,dǎo méi,dao3 mei2,5,5252,a/an,to have bad luck; to be out of luck,,
道德,道德,dào dé,dao4 de2,5,2445,n/a,virtue; morality; ethics,,种
道理,道理,dào li,dao4 li5,5,2521,n,reason; argument; sense; principle; basis; justification,,个
地道,地道,dì dao,di4 dao5,5,5958,a/n,authentic; genuine; proper,,
地理,地理,dì lǐ,di4 li3,5,6677,n,geography,,
地区,地區,dì qū,di4 qu1,5,1123,n,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)",,个
地毯,地毯,dì tǎn,di4 tan3,5,6563,n,carpet; rug,,
地位,地位,dì wèi,di4 wei4,5,2771,n,position; status; place,,个
地震,地震,dì zhèn,di4 zhen4,5,3938,n,earthquake,,
的确,的確,dí què,di2 que4,5,1392,d,really; indeed,,
登机牌,登機牌,dēng jī pái,deng1 ji1 pai2,5,22658,n,boarding pass,,
登记,登記,dēng jì,deng1 ji4,5,2377,v/vn,to register (one's name),,
等待,等待,děng dài,deng3 dai4,5,1567,v/vn,to wait; to wait for,,
等候,等候,děng hòu,deng3 hou4,5,6248,v/vn,to wait; to wait for,,
等于,等於,děng yú,deng3 yu2,5,3464,v,to equal; to be tantamount to,,
滴,滴,dī,di1,5,2035,v/q,a drop; to drip,,
敌人,敵人,dí rén,di2 ren2,5,1731,n,enemy,,个
递,遞,dì,di4,5,7319,v,to hand over; to pass on; to deliver; (bound form) progressively; in the proper order,,
点头,點頭,diǎn tóu,dian3 tou2,5,6136,v,to nod,,
点心,點心,diǎn xin,dian3 xin5,5,8628,n,light refreshments; pastry; dim sum (in Cantonese cooking); dessert,,
电池,電池,diàn chí,dian4 chi2,5,3997,n,battery,,节/组
电台,電臺,diàn tái,dian4 tai2,5,5542,n,transmitter-receiver; broadcasting station; radio station,,个/家
钓,釣,diào,diao4,5,7545,v,to fish with a hook and bait,,
调皮,調皮,tiáo pí,tiao2 pi2,5,12299,a,naughty; mischievous; unruly,,
调整,調整,tiáo zhěng,tiao2 zheng3,5,2032,v/vn,to adjust; adjustment; revision,,个
丁,丁,dīng,ding1,5,3211,nr/o/g/Mg,"male adult; the 4th of the 10 Heavenly Stems 干; fourth (used like ""4"" or ""D""); small cube of meat or vegetable; (literary) to encounter; (archaic) ancient Chinese compass point: 195°; (chemistry) butyl",,
顶,頂,dǐng,ding3,5,1623,v/q/g/f,"apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to ""bump"" a forum thread to raise its profile; classifier for headwear, hats, veils etc",,
动画片,動畫片,dòng huà piàn,dong4 hua4 pian4,5,10899,n,animated film,,
冻,凍,dòng,dong4,5,3883,v,to freeze; to feel very cold; aspic or jelly,,
洞,洞,dòng,dong4,5,2225,n/g,cave; hole; zero (unambiguous spoken form when spelling out numbers),,个
豆腐,豆腐,dòu fu,dou4 fu5,5,6407,n,tofu; bean curd,,
逗,逗,dòu,dou4,5,4825,v,to tease (playfully); to entice; (coll.) to joke; (coll.) funny; amusing; to stay; to sojourn; brief pause at the end of a phrase (variant of 读),,
独立,獨立,dú lì,du2 li4,5,1876,a/v/ad/an/vn,independent; independence; to stand alone,,
独特,獨特,dú tè,du2 te4,5,3375,a,unique; distinctive,,
度过,度過,dù guò,du4 guo4,5,2905,v,to pass; to spend (time); to survive; to get through,,
短信,短信,duǎn xìn,duan3 xin4,5,1000000,,text message; SMS,,
堆,堆,duī,dui1,5,2915,q/v/k/n,to pile up; to heap up; a mass; pile; heap; stack; large amount,,
对比,對比,duì bǐ,dui4 bi3,5,5260,vn/v,to contrast; contrast; ratio,,个
对待,對待,duì dài,dui4 dai4,5,2429,v/vn,to treat; treatment,,
对方,對方,duì fāng,dui4 fang1,5,1158,n,the other person; the other side; the other party,,
对手,對手,duì shǒu,dui4 shou3,5,1603,n,opponent; rival; competitor; (well-matched) adversary; match,,
对象,對象,duì xiàng,dui4 xiang4,5,1912,n,target; object; partner; boyfriend; girlfriend,,个
